Algoritmo,NUM_SEGS_KNOWN,NSEGRATE,PRIOR,DISPERSION,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
BayesSeg Pr:0.11 dp:0.30 sr:0.600,true,0.600,0.1100,0.3000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.50 sr:0.600,true,0.600,0.0800,0.5000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.09 dp:0.50 sr:0.600,true,0.600,0.0900,0.5000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.10 dp:0.50 sr:0.600,true,0.600,0.1000,0.5000,0.467275,0.403505,0.610581,0.569810,0.716573,0.613209,18.416667
BayesSeg Pr:0.11 dp:0.50 sr:0.600,true,0.600,0.1100,0.5000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.70 sr:0.600,true,0.600,0.0800,0.7000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.09 dp:0.70 sr:0.600,true,0.600,0.0900,0.7000,0.473336,0.409565,0.604629,0.564759,0.708240,0.606920,18.416667
BayesSeg Pr:0.10 dp:0.70 sr:0.600,true,0.600,0.1000,0.7000,0.467275,0.403505,0.610581,0.569810,0.716573,0.613209,18.416667
BayesSeg Pr:0.11 dp:0.70 sr:0.600,true,0.600,0.1100,0.7000,0.462373,0.398603,0.615343,0.573977,0.724149,0.618586,18.416667
BayesSeg Pr:0.08 dp:0.10 sr:0.900,true,0.900,0.0800,0.1000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.09 dp:0.10 sr:0.900,true,0.900,0.0900,0.1000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.10 dp:0.10 sr:0.900,true,0.900,0.1000,0.1000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.11 dp:0.10 sr:0.900,true,0.900,0.1100,0.1000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.08 dp:0.30 sr:0.900,true,0.900,0.0800,0.3000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.09 dp:0.30 sr:0.900,true,0.900,0.0900,0.3000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.10 dp:0.30 sr:0.900,true,0.900,0.1000,0.3000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.11 dp:0.30 sr:0.900,true,0.900,0.1100,0.3000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.08 dp:0.50 sr:0.900,true,0.900,0.0800,0.5000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.09 dp:0.50 sr:0.900,true,0.900,0.0900,0.5000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.10 dp:0.50 sr:0.900,true,0.900,0.1000,0.5000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.11 dp:0.50 sr:0.900,true,0.900,0.1100,0.5000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.08 dp:0.70 sr:0.900,true,0.900,0.0800,0.7000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.09 dp:0.70 sr:0.900,true,0.900,0.0900,0.7000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.10 dp:0.70 sr:0.900,true,0.900,0.1000,0.7000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
BayesSeg Pr:0.11 dp:0.70 sr:0.900,true,0.900,0.1100,0.7000,0.637980,0.510736,0.496296,0.481398,0.883817,0.605079,27.500000
